,L,U
19850105,8.125,8.125
19850106,8.125,8.125
19850107,8.125,8.125
19850108,8.125,8.125
19850109,8.125,8.125
19850110,8.125,8.125
19850111,8.125,8.125
19850112,8.125,8.125
19850113,8.125,8.125
19850114,8.125,8.125
19850115,8.125,8.125
19850116,8.125,8.125
19850117,8.125,8.125
19850118,8.125,8.125
19850119,8.125,8.125
19850120,8.125,8.125
19850121,8.125,8.125
19850122,8.125,8.125
19850123,8.125,8.125
19850124,8.25,8.25
19850125,8.25,8.25
19850126,8.25,8.25
19850127,8.25,8.25
19850128,8.25,8.25
19850129,8.25,8.25
19850130,8.25,8.25
19850131,8.25,8.25
19850201,8.25,8.25
19850202,8.25,8.25
19850203,8.25,8.25
19850204,8.25,8.25
19850205,8.25,8.25
19850206,8.25,8.25
19850207,8.25,8.25
19850208,8.25,8.25
19850209,8.25,8.25
19850210,8.25,8.25
19850211,8.25,8.25
19850212,8.25,8.25
19850213,8.25,8.25
19850214,8.375,8.375
19850215,8.375,8.375
19850216,8.375,8.375
19850217,8.375,8.375
19850218,8.375,8.375
19850219,8.375,8.375
19850220,8.375,8.375
19850221,8.375,8.375
19850222,8.375,8.375
19850223,8.375,8.375
19850224,8.375,8.375
19850225,8.375,8.375
19850226,8.375,8.375
19850227,8.375,8.375
19850228,8.375,8.375
19850301,8.375,8.375
19850302,8.375,8.375
19850303,8.375,8.375
19850304,8.375,8.375
19850305,8.375,8.375
19850306,8.375,8.375
19850307,8.375,8.375
19850308,8.375,8.375
19850309,8.375,8.375
19850310,8.375,8.375
19850311,8.375,8.375
19850312,8.375,8.375
19850313,8.375,8.375
19850314,8.375,8.375
19850315,8.375,8.375
19850316,8.375,8.375
19850317,8.375,8.375
19850318,8.375,8.375
19850319,8.375,8.375
19850320,8.375,8.375
19850321,8.375,8.375
19850322,8.375,8.375
19850323,8.375,8.375
19850324,8.375,8.375
19850325,8.375,8.375
19850326,8.375,8.375
19850327,8.375,8.375
19850328,8.5,8.5
19850329,8.5,8.5
19850330,8.5,8.5
19850331,8.5,8.5
19850401,8.5,8.5
19850402,8.5,8.5
19850403,8.5,8.5
19850404,8.5,8.5
19850405,8.5,8.5
19850406,8.5,8.5
19850407,8.5,8.5
19850408,8.5,8.5
19850409,8.5,8.5
19850410,8.5,8.5
19850411,8.5,8.5
19850412,8.5,8.5
19850413,8.5,8.5
