Date,Close,Open,High,Low,Increase
2008年7月18日,1.475,1.475,1.475,1.475,6.19%
2008年7月17日,1.389,1.389,1.389,1.389,1.91%
2008年7月16日,1.363,1.363,1.363,1.363,-3.26%
2008年7月15日,1.409,1.409,1.409,1.409,-3.16%
2008年7月14日,1.455,1.455,1.455,1.455,-7.74%
2008年7月11日,1.577,1.577,1.577,1.577,-5.57%
2008年7月10日,1.67,1.67,1.67,1.67,-7.38%
2008年7月9日,1.803,1.803,1.803,1.803,-5.35%
2008年7月8日,1.905,1.905,1.905,1.905,5.13%
2008年7月7日,1.812,1.812,1.812,1.812,-2.21%
2008年7月3日,1.853,1.853,1.853,1.853,2.49%
2008年7月2日,1.808,1.808,1.808,1.808,-3.00%
2008年7月1日,1.864,1.864,1.864,1.864,8.37%
2008年6月30日,1.72,1.72,1.72,1.72,4.94%
2008年6月27日,1.639,1.639,1.639,1.639,-4.21%
2008年6月26日,1.711,1.711,1.711,1.711,-5.10%
2008年6月25日,1.803,1.803,1.803,1.803,-3.01%
2008年6月24日,1.859,1.859,1.859,1.859,-1.85%
2008年6月23日,1.894,1.894,1.894,1.894,1.34%
2008年6月20日,1.869,1.869,1.869,1.869,-2.40%
2008年6月19日,1.915,1.915,1.915,1.915,-0.26%
2008年6月18日,1.92,1.92,1.92,1.92,-3.13%
2008年6月17日,1.982,1.982,1.982,1.982,1.90%
2008年6月16日,1.945,1.945,1.945,1.945,-2.36%
2008年6月13日,1.992,1.992,1.992,1.992,-0.75%
2008年6月12日,2.007,2.007,2.007,2.007,3.94%
2008年6月11日,1.931,1.931,1.931,1.931,-4.07%
2008年6月10日,2.013,2.013,2.013,2.013,6.00%
2008年6月9日,1.899,1.899,1.899,1.899,3.04%
2008年6月6日,1.843,1.843,1.843,1.843,-0.86%
2008年6月5日,1.859,1.859,1.859,1.859,0.27%
2008年6月4日,1.854,1.854,1.854,1.854,0.00%
2008年6月3日,1.854,1.854,1.854,1.854,1.15%
2008年6月2日,1.833,1.833,1.833,1.833,-3.78%
2008年5月30日,1.905,1.905,1.905,1.905,1.38%
2008年5月29日,1.879,1.879,1.879,1.879,-1.11%
2008年5月28日,1.9,1.9,1.9,1.9,-0.78%
2008年5月27日,1.915,1.915,1.915,1.915,3.07%
2008年5月23日,1.858,1.858,1.858,1.858,-0.59%
2008年5月22日,1.869,1.869,1.869,1.869,0.00%
2008年5月21日,1.869,1.869,1.869,1.869,1.08%
2008年5月20日,1.849,1.849,1.849,1.849,-0.48%
2008年5月19日,1.858,1.858,1.858,1.858,1.09%
2008年5月16日,1.838,1.838,1.838,1.838,-0.27%
2008年5月15日,1.843,1.843,1.843,1.843,1.38%
2008年5月14日,1.818,1.818,1.818,1.818,-7.10%
2008年5月13日,1.957,1.957,1.957,1.957,7.71%
2008年5月12日,1.817,1.817,1.817,1.817,7.58%
2008年5月9日,1.689,1.689,1.689,1.689,1.81%
2008年5月8日,1.659,1.659,1.659,1.659,-1.54%
2008年5月7日,1.685,1.685,1.685,1.685,3.18%
2008年5月6日,1.633,1.633,1.633,1.633,3.22%
2008年5月5日,1.582,1.582,1.582,1.582,3.74%
2008年5月2日,1.525,1.525,1.525,1.525,8.31%
2008年5月1日,1.408,1.408,1.408,1.408,4.14%
2008年4月30日,1.352,1.352,1.352,1.352,-8.96%
2008年4月29日,1.485,1.485,1.485,1.485,7.07%
2008年4月28日,1.387,1.387,1.387,1.387,1.46%
