Date,Close,Open,High,Low,Increase
2009年1月26日,1.659,1.659,1.659,1.659,1.41%
2009年1月23日,1.636,1.636,1.636,1.636,1.55%
2009年1月22日,1.611,1.611,1.611,1.611,-0.56%
2009年1月21日,1.62,1.62,1.62,1.62,9.09%
2009年1月20日,1.485,1.485,1.485,1.485,0.07%
2009年1月16日,1.484,1.484,1.484,1.484,8.01%
2009年1月15日,1.374,1.374,1.374,1.374,1.18%
2009年1月14日,1.358,1.358,1.358,1.358,-4.70%
2009年1月13日,1.425,1.425,1.425,1.425,-1.86%
2009年1月12日,1.452,1.452,1.452,1.452,-4.16%
2009年1月9日,1.515,1.515,1.515,1.515,-4.72%
2009年1月8日,1.59,1.59,1.59,1.59,-4.45%
2009年1月7日,1.664,1.664,1.664,1.664,0.00%
2009年1月6日,1.664,1.664,1.664,1.664,-0.48%
2009年1月5日,1.672,1.672,1.672,1.672,-0.30%
2009年1月2日,1.677,1.677,1.677,1.677,7.92%
2008年12月31日,1.554,1.554,1.554,1.554,8.14%
2008年12月30日,1.437,1.437,1.437,1.437,-1.84%
2008年12月29日,1.464,1.464,1.464,1.464,-3.68%
2008年12月26日,1.52,1.52,1.52,1.52,-1.87%
2008年12月24日,1.549,1.549,1.549,1.549,1.91%
2008年12月23日,1.52,1.52,1.52,1.52,7.12%
2008年12月22日,1.419,1.419,1.419,1.419,4.49%
2008年12月19日,1.358,1.358,1.358,1.358,8.04%
2008年12月18日,1.257,1.257,1.257,1.257,-9.57%
2008年12月17日,1.39,1.39,1.39,1.39,7.84%
2008年12月16日,1.289,1.289,1.289,1.289,-13.55%
2008年12月15日,1.491,1.491,1.491,1.491,-1.52%
2008年12月12日,1.514,1.514,1.514,1.514,-2.64%
2008年12月11日,1.555,1.555,1.555,1.555,-4.13%
2008年12月10日,1.622,1.622,1.622,1.622,0.50%
2008年12月9日,1.614,1.614,1.614,1.614,-6.54%
2008年12月8日,1.727,1.727,1.727,1.727,1.47%
2008年12月5日,1.702,1.702,1.702,1.702,12.34%
2008年12月4日,1.515,1.515,1.515,1.515,-5.72%
2008年12月3日,1.607,1.607,1.607,1.607,-3.13%
